
=====================================================================================================================
                                          Overall     BaseGame     FreeGame  FreeGameAll   MysteryWin
=====================================================================================================================
[MY x01]      1654010           6.046           0.000           1.000        0.000000        0.000000       16.540100
[MY x02]      1875310           5.332           0.000           1.000        0.000000        0.000000       18.753100
[MY x03]       866750          11.537           0.000           1.000        0.000000        0.000000        8.667500
[MY x04]       372804          26.824           0.000           1.000        0.000000        0.000000        3.728040
[MY x05]       166377          60.104           0.000           1.000        0.000000        0.000000        1.663770
[MY x06]        53352         187.434         186.161        -185.161  9932056.000000        2.613699        0.533520
[MY x07]        17226         580.518         218.205        -217.205  3758796.000000        0.989157        0.172260
[MY x08]         4905        2038.736         248.538        -247.538  1219080.000000        0.320811        0.049050
[MY x09]         1081        9250.694         275.784        -274.784   298122.000000        0.078453        0.010810
[MY x10]          288       34722.222         310.972        -309.972    89560.000000        0.023568        0.002880
[MY x11]           43      232558.140         350.558        -349.558    15074.000000        0.003967        0.000430
[MY x12]            8     1250000.000         328.500        -327.500     2628.000000        0.000692        0.000080
[MY x13]            1    10000000.000         334.000        -333.000      334.000000        0.000088        0.000010
[MY x14]            0           0.000           0.000           0.000        0.000000        0.000000        0.000000
[MY x15]            0           0.000           0.000           0.000        0.000000        0.000000        0.000000
[  All ]     10000000    11529449.593        2252.718       -2238.718        15315650        4.030434      100.000000
=====================================================================================================================
============================================FreeGameComboPart========================================================
=====================================================================================================================
PayComboId      Hits        Pull/Hit         Avg_Pay         Net_Pay        TotalPay    Contri(Pctg)      Hit(Pctg)
=====================================================================================================================
[M1 x5]        10515          75.857         350.000        -349.000         3680250        0.968487        1.318270
[M1 x4]        77047          10.353         100.000         -99.000         7704700        2.027553        9.659419
[M1 x3]       125851           6.338          15.000         -14.000         1887765        0.496780       15.777999
[M2 x5]        47989          16.621         200.000        -199.000         9597800        2.525737        6.016403
[M2 x4]       119273           6.687          70.000         -69.000         8349110        2.197134       14.953312
[M2 x3]       128229           6.220          10.000          -9.000         1282290        0.337445       16.076130
[M3 x5]        78123          10.210         120.000        -119.000         9374760        2.467042        9.794317
[M3 x4]       196195           4.066          30.000         -29.000         5885850        1.548908       24.597059
[M3 x3]       204789           3.895           8.000          -7.000         1638312        0.431135       25.674493
[M4 x5]       115235           6.922         100.000         -99.000        11523500        3.032500       14.447066
[M4 x4]       169986           4.692          30.000         -29.000         5099580        1.341995       21.311225
[M4 x3]       296484           2.690           8.000          -7.000         2371872        0.624177       37.170338
[M5 x5]       296474           2.690          25.000         -24.000         7411850        1.950487       37.169085
[M5 x4]       246465           3.236          10.000          -9.000         2464650        0.648592       30.899433
[M5 x3]       351808           2.267           5.000          -4.000         1759040        0.462905       44.106334
[M6 x5]       319097           2.500          20.000         -19.000         6381940        1.679458       40.005341
