
=====================================================================================================================
                                          Overall     BaseGame     FreeGame  FreeGameAll   MysteryWin
=====================================================================================================================
[M4 x5]       315576          31.688         100.000         -99.000        31557600        8.304632        3.155760
[M4 x4]       493173          20.277          30.000         -29.000        14795190        3.893471        4.931730
[M4 x3]       738477          13.541           8.000          -7.000         5907816        1.554688        7.384770
[M5 x5]       641054          15.599          25.000         -24.000        16026350        4.217461        6.410540
[M5 x4]       668931          14.949          10.000          -9.000         6689310        1.760345        6.689310
[M5 x3]       844483          11.842           5.000          -4.000         4222415        1.111162        8.444830
[M6 x5]       520967          19.195          20.000         -19.000        10419340        2.741932        5.209670
[M6 x4]       825719          12.111          10.000          -9.000         8257190        2.172945        8.257190
[M6 x3]       931229          10.738           5.000          -4.000         4656145        1.225301        9.312290
[ A x5]        44875         222.841           7.000          -6.000          314125        0.082664        0.448750
[ A x4]       180989          55.252           4.000          -3.000          723956        0.190515        1.809890
[ A x3]       257575          38.824           3.000          -2.000          772725        0.203349        2.575750
[ K x5]        39402         253.794           7.000          -6.000          275814        0.072583        0.394020
[ K x4]       166437          60.083           4.000          -3.000          665748        0.175197        1.664370
[ K x3]       209576          47.715           3.000          -2.000          628728        0.165455        2.095760
[ Q x5]        40292         248.188           7.000          -6.000          282044        0.074222        0.402920
[ Q x4]       195719          51.094           4.000          -3.000          782876        0.206020        1.957190
[ Q x3]       220779          45.294           3.000          -2.000          662337        0.174299        2.207790
[ J x5]        24277         411.913           7.000          -6.000          169939        0.044721        0.242770
[ J x4]        94687         105.611           4.000          -3.000          378748        0.099671        0.946870
[ J x3]       122918          81.355           3.000          -2.000          368754        0.097041        1.229180
[TE x5]            0           0.000           0.000           0.000               0        0.000000        0.000000
[TE x4]            0           0.000           0.000           0.000               0        0.000000        0.000000
[TE x3]            0           0.000           0.000           0.000               0        0.000000        0.000000
[NI x5]            0           0.000           0.000           0.000               0        0.000000        0.000000
[NI x4]            0           0.000           0.000           0.000               0        0.000000        0.000000
[NI x3]            0           0.000           0.000           0.000               0        0.000000        0.000000
[ BMY ]     10000000    11529449.593        2252.718       -2238.718        15315650        4.030434      100.000000
[ FMY ]       797636       85278.115        2900.267       -2894.267        48184860       12.680226      100.000000
[  FG ]      4480338         403.980        1172.000       -1142.000        95861374       25.226677      561.702080
[  TU ]            0           0.000       -nan(ind)       -nan(ind)               0        0.000000        0.000000
[ All ]     20952121    11616999.300       -nan(ind)       -nan(ind)       311289311       81.918240      301.544850
=====================================================================================================================
=====================================================================================================================
Total Played                  : 10000000
Bonus Total Played            : 797636
trigger                       : 76904
retrigger                     : 28596
hitTopUpFullReelCount         : 0
Total Lost                    : 7442132
BaseGame WinLine Hits         : 5674147
FreeGame WinLine Hits         : 4480338
Total WinLine Hits            : 10154485
BaseGame Total Pays           : 151927427
FreeGame Total Pays           : 95861374
MY Total Pays                 : 63500510
MY Total RTP                  : 16.710661
MY Total Hits                 : 107.976360
Total Symbol Line Pays        : 247788801
Total Symbol Line RTP         : 65.207579
Total Symbol Line Hit Per     : 101.544850
Total Pays                    : 311289311
Total RTP                     : 81.918240
Total Hit Per                 : 209.521210
=====================================================================================================================
=====================================================================================================================
BaseGame CV                   : 7.282691
BonusGame CV                  : 0.996877
Over All CV                   : 7.244812
=====================================================================================================================
x_sum 311289311 
powerx_sum 518297425441 
standard deviation 98438.323401 
confidence interval (-30.012705, 92.012705) 
